Ensembl_gene_id	Expression_vlue
ENSG00000111229.14	85.5917337913
ENSG00000156298.11	85.4906206334
ENSG00000149273.13	85.4474852243
ENSG00000124733.3	85.4163695821
ENSG00000101182.13	84.9972743844
ENSG00000110321.14	84.159477394
ENSG00000100823.10	84.1543331405
ENSG00000133935.6	84.0114360071
ENSG00000127948.12	83.8898458978
ENSG00000168439.15	83.6560285102
ENSG00000163902.10	83.3959165785
ENSG00000148154.8	83.2394047032
ENSG00000169223.13	83.2104604782
ENSG00000089693.9	82.5533702329
ENSG00000089060.10	82.166748581
ENSG00000168209.4	81.7607645764
ENSG00000221983.6	81.6424246047
ENSG00000168894.8	81.6213615044
ENSG00000203950.6	81.5246552702
ENSG00000229117.7	81.42018073
ENSG00000161204.10	81.3419973416
ENSG00000118705.15	81.2720001953
ENSG00000173660.10	81.2374814608
ENSG00000143947.11	81.0861608192
ENSG00000112695.10	81.04383234
ENSG00000179222.16	80.7870277288
ENSG00000167863.10	80.7306589271
ENSG00000147403.15	80.7182931616
ENSG00000099624.6	80.6057166999
ENSG00000166848.5	80.6023156414
ENSG00000063587.13	80.5729101431
ENSG00000116096.5	80.5654761301
ENSG00000148290.8	80.4680037158
ENSG00000105202.6	80.405659688
ENSG00000182154.7	80.1448054743
ENSG00000103202.11	79.9942102623
ENSG00000168159.10	79.9531698633
ENSG00000109390.10	79.8784565453
ENSG00000116521.9	79.5665812019
ENSG00000110717.9	79.1358334087
ENSG00000204525.13	79.0647298875
ENSG00000163346.15	79.0056336929
ENSG00000077549.16	79.0011389182
ENSG00000118816.8	78.9961443416
ENSG00000265354.3	78.976165485
ENSG00000100380.11	78.7164467323
ENSG00000123144.9	78.4802740616
ENSG00000135486.16	78.4795576701
ENSG00000085662.12	78.4643708902
ENSG00000007520.3	78.4326761098
ENSG00000170027.6	78.3839553238
ENSG00000182195.7	78.3082549231
ENSG00000182492.14	78.0485385129
ENSG00000138085.15	77.8655616461
ENSG00000114942.12	77.4013937415
ENSG00000071082.9	77.3754471792
ENSG00000147604.12	77.1556098603
ENSG00000115310.16	77.0397495738
ENSG00000100911.12	76.874436413
ENSG00000138279.14	76.826746355
ENSG00000163040.13	76.6675734955
ENSG00000175550.6	76.6369922197
ENSG00000135441.6	76.5334307524
ENSG00000163682.14	76.2761803581
ENSG00000145425.8	75.938536781
ENSG00000102038.14	75.7803469872
ENSG00000182636.5	75.0459666846
ENSG00000158716.7	74.9880937253
ENSG00000099800.6	74.8108502963
ENSG00000122705.15	74.6488893577
ENSG00000198417.6	74.4950833042
ENSG00000175899.13	74.2070820122
ENSG00000178449.7	74.0707329158
ENSG00000167740.8	73.9242979134
ENSG00000186493.10	73.8313846642
ENSG00000076248.9	73.8087731063
ENSG00000129625.11	73.7005087482
ENSG00000126756.10	73.4459071967
ENSG00000160014.15	73.3255622714
ENSG00000133398.3	73.3151946541
ENSG00000170899.9	73.3044753591
ENSG00000242265.4	73.2945863741
ENSG00000134153.8	73.2752471759
ENSG00000173992.7	73.2588934146
ENSG00000143543.13	73.2272079984
ENSG00000124562.8	73.1712509083
ENSG00000111639.6	73.1266871435
ENSG00000198502.5	73.0281144829
ENSG00000197756.8	72.997332038
ENSG00000172809.11	72.9684774567
ENSG00000170889.12	72.5621972151
ENSG00000126088.11	72.3072168979
ENSG00000214548.13	72.0044796979
ENSG00000070031.3	71.5255686028
ENSG00000166165.11	71.4314961375
