miRNA	Expression_vlue
hsa-miR-210-3p	1568.03
hsa-miR-210-5p	1.557382
hsa-miR-211-5p	7.94618
hsa-miR-2116-5p	0.5407244
hsa-miR-212-3p	19.021
hsa-miR-21-3p	1174.01
hsa-miR-214-5p	164.209
hsa-miR-215-5p	22.1327
hsa-miR-21-5p	79819.6
hsa-miR-216b-3p	0.065442227
hsa-miR-218-1-3p	1.23988
hsa-miR-218-2-3p	0.27189504
hsa-miR-218-5p	79.3656
hsa-miR-219a-5p	106.362
hsa-miR-219b-3p	0.7116516
hsa-miR-219b-5p	0.52181264
hsa-miR-221-3p	143.469
hsa-miR-221-5p	8.99944
hsa-miR-222-3p	36.464
hsa-miR-223-3p	847.427
hsa-miR-22-3p	118707
hsa-miR-224-3p	8.52664
hsa-miR-224-5p	257.627
hsa-miR-22-5p	52.4015
hsa-miR-2276-3p	0.3637363
hsa-miR-2276-5p	0.44966757
hsa-miR-2277-5p	0.62649796
hsa-miR-2278	0.08945651
hsa-miR-23a-3p	2000.33
hsa-miR-23a-5p	16.6974
hsa-miR-23b-3p	440.747
hsa-miR-23b-5p	1.5850793
hsa-miR-23c	2.9531518
hsa-miR-24-1-5p	11.8269
hsa-miR-24-2-5p	22.897
hsa-miR-24-3p	1118.21
hsa-miR-2467-5p	0.16347731
hsa-miR-25-3p	5807.81
hsa-miR-25-5p	0.2638586
hsa-miR-2682-3p	1.9753959
hsa-miR-2682-5p	1.9571543
hsa-miR-26a-1-3p	14.0255
hsa-miR-26a-2-3p	12.0207
hsa-miR-26a-5p	1327.74
hsa-miR-26b-3p	28.252
hsa-miR-26b-5p	1152.2
hsa-miR-27a-3p	2845.23
hsa-miR-27a-5p	40.2423
hsa-miR-27b-3p	4172.94
hsa-miR-27b-5p	15.9394
hsa-miR-28-3p	1493.96
hsa-miR-28-5p	109.201
hsa-miR-296-3p	1.0464979
hsa-miR-296-5p	16.9309
hsa-miR-299-3p	1.003031
hsa-miR-299-5p	22.1922
hsa-miR-29a-3p	8613.28
hsa-miR-29a-5p	10.5368
hsa-miR-29b-1-5p	19.6758
hsa-miR-29b-2-5p	111.709
hsa-miR-29b-3p	986.292
hsa-miR-29c-3p	4996.86
hsa-miR-29c-5p	51.8665
hsa-miR-301a-3p	24.8955
hsa-miR-301a-5p	15.5689
hsa-miR-301b-3p	3.41787
hsa-miR-301b-5p	2.0473572
hsa-miR-302c-3p	0.16305767
hsa-miR-302d-3p	0.31914954
hsa-miR-3064-3p	0.48345532
hsa-miR-3064-5p	0.5923123
hsa-miR-3065-3p	265.614
hsa-miR-3065-5p	9.0566
hsa-miR-3074-3p	0.5917166
hsa-miR-3074-5p	20.0141
hsa-miR-30a-3p	17969.7
hsa-miR-30a-5p	40314.3
hsa-miR-30b-3p	4.36598
hsa-miR-30b-5p	1384.65
hsa-miR-30c-1-3p	2.74949
hsa-miR-30c-2-3p	89.0357
hsa-miR-30c-5p	765.9
hsa-miR-30d-3p	4.2567
hsa-miR-30d-5p	9579.03
hsa-miR-30e-3p	6729.06
hsa-miR-30e-5p	11865.1
hsa-miR-3115	0.4622888
hsa-miR-3116	0.07990812
hsa-miR-3120-3p	0.18528584
hsa-miR-3120-5p	0.15273346
hsa-miR-3121-3p	0.21048452
hsa-miR-3125	0.21226286
hsa-miR-3128	0.13223458
hsa-miR-3129-3p	0.79879095
hsa-miR-3130-3p	0.8036842
hsa-miR-3130-5p	24.0268
hsa-miR-3133	0.49214942
hsa-miR-3135a	0.33497297
hsa-miR-3136-5p	0.83042105
hsa-miR-3137	0.21395242
hsa-miR-3138	0.3620649
hsa-miR-3139	0.14889062
hsa-miR-31-3p	81.7565
hsa-miR-3140-3p	0.41468142
hsa-miR-3142	0.1588478
hsa-miR-3143	0.14878048
hsa-miR-3144-3p	0.13206423
hsa-miR-3145-3p	0.10926439
hsa-miR-3145-5p	0.49643248
hsa-miR-3146	0.20974915
hsa-miR-3149	0.2910675
hsa-miR-3150a-3p	0.23337774
hsa-miR-3150a-5p	0.7586847
hsa-miR-3154	0.0235131783
hsa-miR-3155a	0.035982168
hsa-miR-3158-3p	0.42332113
hsa-miR-3158-5p	0.787292
hsa-miR-3159	0.16283622
hsa-miR-31-5p	36.2243
hsa-miR-3160-3p	0.108767005
hsa-miR-3160-5p	0.0194485548
hsa-miR-3161	1.106423
hsa-miR-3162-3p	0.002200003
hsa-miR-3162-5p	0.0022000268
hsa-miR-3163	0.0892826
hsa-miR-3164	0.72220486
hsa-miR-3168	0.10121567
hsa-miR-3170	3.13541
hsa-miR-3173-3p	0.3844435
hsa-miR-3173-5p	1.6968027
hsa-miR-3174	0.24448141
hsa-miR-3175	0.46244306
hsa-miR-3176	0.5880737
hsa-miR-3177-3p	0.51768976
hsa-miR-3177-5p	0.29792034
hsa-miR-3178	0.3517421
hsa-miR-3183	0.20343622
hsa-miR-3187-3p	0.043068594
hsa-miR-3187-5p	0.12254953
hsa-miR-3188	0.5779232
hsa-miR-3189-3p	0.33091514
hsa-miR-3190-3p	0.24333137
hsa-miR-3191-3p	0.36695837
hsa-miR-3191-5p	0.20404903
hsa-miR-3192-3p	0.16379106
hsa-miR-3192-5p	0.27236775
hsa-miR-3193	0.8477956
hsa-miR-3194-5p	0.58353904
hsa-miR-3196	0.566821
hsa-miR-3198	0.34363427
hsa-miR-3199	0.81813256
hsa-miR-3200-5p	0.3031238
hsa-miR-3202	0.14465512
hsa-miR-320a	507.178
hsa-miR-320b	17.5289
hsa-miR-320c	1.7837527
hsa-miR-320e	1.7164957
hsa-miR-32-3p	1.5996769
hsa-miR-324-3p	43.8737
hsa-miR-324-5p	41.7562
hsa-miR-32-5p	67.6654
hsa-miR-326	18.3202
hsa-miR-328-5p	0.27820426
hsa-miR-329-3p	2.2246814
hsa-miR-329-5p	0.82247554
hsa-miR-330-3p	7.15072
hsa-miR-330-5p	102.516
hsa-miR-331-3p	57.3666
hsa-miR-331-5p	2.1725906
hsa-miR-335-3p	314.141
hsa-miR-335-5p	45.093
hsa-miR-337-3p	49.0355
hsa-miR-338-5p	13.6997
hsa-miR-339-3p	6.87396
hsa-miR-339-5p	458.097
hsa-miR-33a-3p	4.98062
hsa-miR-33a-5p	150.757
hsa-miR-33b-3p	2.59334
hsa-miR-33b-5p	25.5357
hsa-miR-340-3p	8.81015
hsa-miR-342-3p	340.474
hsa-miR-342-5p	6.73086
hsa-miR-345-3p	1.199739
hsa-miR-345-5p	38.9076
hsa-miR-346	14.3212
hsa-miR-34a-3p	1.3124309
hsa-miR-34a-5p	128.145
hsa-miR-34b-3p	499.288
hsa-miR-34b-5p	280.847
hsa-miR-34c-3p	233.613
hsa-miR-34c-5p	3035.74
hsa-miR-3529-3p	0.0230163913
hsa-miR-3529-5p	0.24406073
hsa-miR-3591-5p	0.4255919
hsa-miR-3605-3p	7.20048
hsa-miR-3606-5p	0.20295266
hsa-miR-3607-3p	126.721
hsa-miR-3607-5p	1.02255344
hsa-miR-3609	25.9084
hsa-miR-3610	1.3436301
hsa-miR-3612	0.30021942
hsa-miR-3613-3p	4.1577
hsa-miR-3613-5p	30.1011
hsa-miR-361-3p	61.7442
hsa-miR-3614-3p	2.738273
hsa-miR-3614-5p	4.25713
hsa-miR-3615	8.36278
hsa-miR-361-5p	227.946
hsa-miR-3619-3p	1.3172783
hsa-miR-3619-5p	0.6721836
hsa-miR-3620-3p	0.1860777
hsa-miR-3620-5p	0.63351034
hsa-miR-3622a-5p	0.5487089
hsa-miR-3622b-3p	0.18498864
hsa-miR-362-3p	2.8688874
hsa-miR-362-5p	48.3982
hsa-miR-363-3p	30.657
hsa-miR-363-5p	5.9
hsa-miR-3651	12.8384
hsa-miR-3652	0.3834955
hsa-miR-3653-3p	10.2726
hsa-miR-3653-5p	24.7636
hsa-miR-3654	2.9314472
hsa-miR-3656	0.18526155
hsa-miR-3657	0.060486936
hsa-miR-3659	0.34421145
hsa-miR-365a-3p	132.263
hsa-miR-365a-5p	5.01057
hsa-miR-365b-3p	94.748
hsa-miR-365b-5p	3.0000234
hsa-miR-3661	0.35149955
hsa-miR-3662	1.6308506
hsa-miR-3667-3p	0.18451453
hsa-miR-3667-5p	0.17434523
hsa-miR-3679-3p	0.56174035
hsa-miR-3679-5p	0.3940976
hsa-miR-3680-5p	0.18085737
hsa-miR-3682-3p	0.7604092
hsa-miR-3688-3p	0.3647334
hsa-miR-3689e	0.059141693
hsa-miR-3691-3p	0.33098105
hsa-miR-3691-5p	0.48092313
hsa-miR-3692-3p	0.100065306
hsa-miR-369-3p	56.055
hsa-miR-369-5p	8.44897
hsa-miR-370-3p	21.1927
hsa-miR-374a-3p	743.309
hsa-miR-374a-5p	33.6313
hsa-miR-374b-3p	2.6305058
hsa-miR-374b-5p	27.3431
hsa-miR-374c-3p	0.09244359
hsa-miR-374c-5p	5.95357
hsa-miR-375	104001
hsa-miR-376a-3p	3.23026
hsa-miR-376a-5p	7.36989
hsa-miR-376b-5p	1.6308149
hsa-miR-376c-3p	43.6563
hsa-miR-376c-5p	1.5729164
hsa-miR-378a-3p	3829.86
hsa-miR-378a-5p	491.688
hsa-miR-378b	1.3803161
hsa-miR-378c	91.6417
hsa-miR-378d	6.10785
hsa-miR-378f	1.503375
hsa-miR-378g	0.36029155
hsa-miR-378h	0.0150117719
hsa-miR-378i	1.3397463
hsa-miR-381-3p	2359.88
hsa-miR-382-3p	1.4309777
hsa-miR-382-5p	30.9687
hsa-miR-3907	0.0018000209
hsa-miR-3909	1.188511
hsa-miR-3911	0.14626596
hsa-miR-3913-3p	0.41450105
hsa-miR-3916	0.3983901
hsa-miR-3917	1.9927766
hsa-miR-3920	0.3040407
hsa-miR-3923	1.3856734
hsa-miR-3934-3p	4.29648
hsa-miR-3934-5p	1.0964933
hsa-miR-3936	0.3213048
hsa-miR-3938	0.3984473
hsa-miR-3939	0.10847714
hsa-miR-3940-3p	0.8662091
hsa-miR-3940-5p	1.9206211
hsa-miR-3942-3p	0.10809986
hsa-miR-3944-3p	1.6921272
hsa-miR-3944-5p	0.5657169
hsa-miR-409-3p	14.4899
hsa-miR-409-5p	13.622
hsa-miR-410-5p	1.5433628
hsa-miR-411-3p	42.8198
hsa-miR-421	1.734042
hsa-miR-422a	0.30103375
hsa-miR-423-3p	1018.23
hsa-miR-423-5p	132.604
hsa-miR-424-5p	207.424
hsa-miR-425-3p	9.75115
hsa-miR-425-5p	459.705
hsa-miR-4284	0.05181102
hsa-miR-429	342.142
hsa-miR-431-3p	49.2407
hsa-miR-431-5p	2.3146016
hsa-miR-432-3p	2.0972843
hsa-miR-432-5p	33.1629
hsa-miR-4326	27.3951
hsa-miR-4419b	0.28286187
hsa-miR-4422	0.042619728
hsa-miR-4429	0.7162742
hsa-miR-4430	0.25696858
hsa-miR-4443	2.7542428
hsa-miR-4444	0.53315947
hsa-miR-4446-3p	0.93911956
hsa-miR-4448	0.04180048
hsa-miR-4449	48.7355
hsa-miR-4454	7.47061
hsa-miR-4461	1.561192
hsa-miR-4466	0.21399098
hsa-miR-4467	0.18398686
hsa-miR-4469	0.88305317
hsa-miR-4479	0.5764572
hsa-miR-4482-5p	0.4230375
hsa-miR-4484	0.91367646
hsa-miR-4488	0.38368114
hsa-miR-448	0.50511586
hsa-miR-4492	0.13282587
hsa-miR-4494	0.25671105
hsa-miR-4498	0.42481693
hsa-miR-449a	85.3969
hsa-miR-449b-5p	2.7136676
hsa-miR-4504	0.20491912
hsa-miR-4507	0.0013000119
hsa-miR-450b-3p	0.060463682
hsa-miR-4510	0.9111541
hsa-miR-4512	0.20267281
hsa-miR-4515	0.21232671
hsa-miR-4516	0.106294416
hsa-miR-4517	1.3126957
hsa-miR-451a	7342.45
hsa-miR-4521	2.5034345
hsa-miR-4523	0.24338873
hsa-miR-4525	0.24449794
hsa-miR-452-5p	119.753
hsa-miR-4532	0.34230094
hsa-miR-4536-3p	0.26248172
hsa-miR-4536-5p	0.21402682
hsa-miR-454-3p	6.00951
hsa-miR-454-5p	0.4965403
hsa-miR-455-3p	598.517
hsa-miR-455-5p	88.1188
